Year,Real_GDP_Growth_Pct,Inflation_End_of_Year_Pct
2030,6.0,3.2
2029,6.0,3.3
2028,6.0,3.0
2027,6.0,3.0
2026,5.7,2.8
2025,5.4,1.5
2024,5.7,2.9
2023,5.5,3.9
2022,7.6,8.1
2021,5.7,3.1
2020,-9.5,3.3
2019,6.1,2.4
2018,6.3,5.3
2017,6.9,2.9
2016,7.1,2.2
2015,6.3,0.8
2014,6.3,1.9
2013,6.8,3.7
2012,6.9,2.9
2011,3.9,4.2
2010,7.3,3.6
2009,1.4,4.5
2008,4.3,7.9
2007,6.5,3.5
2006,5.3,4.2
2005,4.9,6.0
2004,6.6,7.1
2003,5.1,2.4
2002,3.7,2.0
2001,3.0,3.7
2000,4.4,8.6
1999,3.3,3.9
1998,-0.5,10.1
1997,5.2,6.4
1996,5.9,7.4
1995,4.6,8.3
1994,4.4,10.9
1993,2.2,7.0
1992,0.4,7.6
1991,-0.4,13.3
1990,3.0,18.2
1989,6.2,15.2
1988,6.8,9.6
1987,4.3,7.0
1986,3.4,-0.3
1985,-7.3,5.7
1984,-7.3,50.8
1983,1.9,13.1
1982,3.6,8.1
1981,3.4,16.3
1980,5.1,15.4
